Tool,Histone_Mark,State_Category,Enrichment_Score
GoPeaks,H3K27ac,Active Enhancer,91.05937333333333
GoPeaks,H3K27ac,Active Promoter,198.78833
GoPeaks,H3K27ac,Bivalent,82.76299
GoPeaks,H3K27ac,Low Signal,36.010709999999996
GoPeaks,H3K27ac,Repressed,5.4860999999999995
GoPeaks,H3K27ac,Transcription,127.49833333333332
GoPeaks,H3K27me3,Active Enhancer,451.54520476190476
GoPeaks,H3K27me3,Active Promoter,34.7622
GoPeaks,H3K27me3,Bivalent,1100.3988714285713
GoPeaks,H3K27me3,Low Signal,5.0342142857142855
GoPeaks,H3K27me3,Repressed,147.39249523809525
GoPeaks,H3K27me3,Transcription,2.5970476190476193
MACS2,H3K27ac,Active Enhancer,1.67408
MACS2,H3K27ac,Active Promoter,43.976350000000004
MACS2,H3K27ac,Bivalent,2.54707
MACS2,H3K27ac,Low Signal,14.730690000000001
MACS2,H3K27ac,Repressed,1.8983133333333333
MACS2,H3K27ac,Transcription,15.321086666666668
MACS2,H3K27me3,Active Enhancer,49.35870952380952
MACS2,H3K27me3,Active Promoter,0.9264
MACS2,H3K27me3,Bivalent,187.63177142857143
MACS2,H3K27me3,Low Signal,0.9052857142857142
MACS2,H3K27me3,Repressed,22.22005238095238
MACS2,H3K27me3,Transcription,0.046642857142857146
